participant;sound;duration;Td;K6;Rd;A2;V2
MZ078;CEGis;1300;1300;0P;1955;DI;DI
MG082;CEGis;1300;1300;0P;1383;DI;DI
KS119;CEGis;1300;1300;0P;1486;DI;DI
MF088;CEGis;1300;1300;0P;2037;DI;DI
KM066;CEGis;1300;1300;0P;1599;DI;DI
KK105;CEGis;1300;1300;0P;2429;DI;DI
DO084;CEGis;1300;1300;0P;3086;DI;DI
AG111;CEGis;1300;1300;0P;1271;DI;DI
PP102;CEGis;1300;1300;0P;925;DI;DI
AS099;CEGis;1300;1300;0P;4004;DI;DI
TR072;CEGis;1300;1300;0P;1491;DI;DI
AK070;CEGis;1300;1300;0P;1488;DI;DI
MG097;CEGis;1300;1300;0P;1955;DI;DI
IK053;CEGis;1300;1300;0P;2342;DI;DI
KP101;CEGis;1300;1300;0P;4538;DI;DI
PC077;CEGis;1300;1300;0P;1489;DI;DI
AP089;CEGis;1300;1300;0P;1682;DI;DI
AS093;CEGis;1300;1300;0P;2134;DI;DI
DK117;CEGis;1300;1300;0P;2976;DI;DI
GN042;CEGis;1300;1300;0P;2969;DI;DI
MG097;CEGis;1300;1300;0P;2039;DI;DI
PC077;CEGis;1300;1300;0P;2899;DI;DI
AB107;CEGis;1300;1300;0P;1495;DI;DI
AB123;CEGis;1300;1300;0P;3532;DI;DI
AB107;CEGis;1300;1300;0P;1405;DI;DI
MZ078;CEGis;1300;1300;0P;694;DI;DI
MZ078;CEGis;1300;1300;0P;1602;DI;DI
AS093;CEGis;1300;1300;0P;2249;DI;DI
MM058;CEGis;1300;1300;0P;1104;DI;DI
JK076;CEGis;1300;1300;0P;1602;DI;DI
AW075;CEGis;1300;1300;0P;1109;DI;DI
KP104;CEGis;1300;1300;0P;1277;DI;DI
KS119;CEGis;1300;1300;0P;1593;DI;DI
SM045;CEGis;1300;1300;0P;2242;DI;DI
GN042;CEGis;1300;1300;0P;3070;DI;DI
MG097;CEGis;1300;1300;0P;1690;DI;DI
TK090;CEGis;1300;1300;0P;1595;DI;DI
MG082;CEGis;1300;1300;0P;1036;DI;DI
PP102;CEGis;1300;1300;0P;2430;DI;DI
DO084;CEGis;1300;1300;0P;2038;DI;DI
KG067;CEGis;1300;1300;0P;1484;DI;DI
KG067;CEGis;1300;1300;0P;1492;DI;DI
AG122;CEGis;1300;1300;0P;1856;DI;DI
PC077;CEGis;1300;1300;0P;2241;DI;DI
KK105;CEGis;1300;1300;0P;1597;DI;DI
AB121;CEGis;1300;1300;0P;2238;DI;DI
AB123;CEGis;1300;1300;0P;5828;DI;DI
JK076;CEGis;1300;1300;0P;1290;DI;DI
WS113;CEGis;1300;1300;0P;2038;DI;DI
OB120;CEGis;1300;1300;0P;1680;DI;DI
PC077;CEGis;1300;1300;0P;1951;DI;DI
PW112;CEGis;1300;1300;0P;2606;DI;DI
BG073;CEGis;1300;1300;0P;1959;DI;DI
TK090;CEGis;1300;1300;0P;2052;DI;DI
DJ083;CEGis;1300;1300;0P;1964;DI;DI
AG080;CEGis;1300;1300;0P;1599;DI;DI
PW112;CEGis;1300;1300;0P;1674;DI;DI
ED100;CEGis;1300;1300;0P;825;DI;DI
KP101;CEGis;1300;1300;0P;2241;DI;DI
MM058;CEGis;1300;1300;0P;3073;DI;DI
KS119;CEGis;1300;1300;0P;1711;DI;DI
KS119;CEGis;1300;1300;0P;1860;DI;DI
AB121;CEGis;1300;1300;0P;819;DI;DI
BG073;CEGis;1300;1300;0P;2895;DI;DI
AB107;CEGis;1300;1300;0P;1960;DI;DI
KP101;CEGis;1300;1300;0P;4841;DI;DI
AK092;CEGis;1300;1300;0P;1689;DI;DI
AB121;CEGis;1300;1300;0P;1101;DI;DI
SM118;CEGis;1300;1300;0P;1216;DI;DI
TK090;CEGis;1300;1300;0P;1959;DI;DI
KS119;CEGis;1300;1300;0P;1676;DI;DI
MK081;CEGis;1300;1300;0P;1953;DI;DI
AG122;CEGis;1300;1300;0P;1593;DI;DI
ZP079;CEGis;1300;1300;0P;2338;DI;DI
MF088;CEGis;1300;1300;0P;4180;DI;DI
IP124;CEGis;1300;1300;0P;2032;DI;DI
AK092;CEGis;1300;1300;0P;1221;DI;DI
KM066;CEGis;1300;1300;0P;359;DI;DI
AK070;CEGis;1300;1300;0P;1503;DI;DI
DJ083;CEGis;1300;1300;0P;1039;DI;DI
IK053;CEGis;1300;1300;0P;1401;DI;DI
ND071;CEGis;1300;1300;0P;1953;DI;DI
NM095;CEGis;1300;1300;0P;2042;DI;DI
ND071;CEGis;1300;1300;0P;2142;DI;DI
MG082;CEGis;1300;1300;0P;1608;DI;DI
